,,,RELATIONSHIP,,,,,,,Business Functional Areas,,,,,,,
9/30/17,Priority,Superior (From Relationship),Description,Superior (Columns),Inferior (To Relationship),Description,Inferior (Columns),Cardinality,Description of Relationship,CORE,Account- ing,Trust,Comm. & Payroll,Sales & Marketing,Ops. & Admin.,Credit / Colls.,Acq.
,5,@CASHLODP,Vault Interest Write Off File,,,,,,,,,,,,,,
,5,ACXWRKP,GL Work File,,,,,,,,,,,,,,
,4,APCOMPA,Accts Payable Company#,,,,,,,,,,,,,,
,5,APIPWKPC,Full Adv Planning Counselor File 8/16/97,,,,,,,,,,,,,,
,5,APWKENDDTA,Advanced Planning,,,,,,,,,,,,,,
,5,AQOCNT,Acquisition Batch Entry File,,,,,,,,,,,,,,
,4,ARPYRL,Minimum Wage Rate (CMX62),,,,,,,,,,,,,,
,3,ATS001DP,Add a Contract NOTS - Dup Check Table,,,,,,,,,,,,,,
,3,ATS001EP,Add a Contract NOTS - Run Errors Table,,,,,,,,,,,,,,
,3,ATS001IP,Add a Contract NOTS - Item/Trust Key Unique Check,,,,,,,,,,,,,,X
,3,ATS001QP,Add a Contract NOTS - Item Key Seq Nbr Assigned,,,,,,,,,,,,,,X
,3,ATS010FP,Enter ATS Contracts - Error/Warning Finder,,,,,,,,,,,,,,X
,3,ATS010HP,Enter ATS Contracts - Header,,ATS010IP,,,,,,,,,,,,X
,3,ATS010IP,Enter ATS Contracts - Items,,ATSCNHIP,,,,,,,,,,,,X
,3,ATS010PP,Enter ATS Contracts - Payments,,ATSCNHPP,,,,,,,,,,,,X
,3,ATS014P,ATS Manual Entry - Spreadsheet,,,,,,,,,,,,,,X
,3,ATS016P,Sign Off Report-Acq Date Check file,,,,,,,,,,,,,,X
,3,ATSCNAHP,Add a Contract NOTS - Active Header,,ATS010PP,,,,,,,,,,,,X
,3,ATSCNAIP,Add a Contract NOTS - Active Item,,,,,,,,,,,,,,X
,3,ATSCNAPP,Add a Contract NOTS - Active Payments,,,,,,,,,,,,,,X
,3,ATSCNATP,Add a Contract NOTS - Active Trust,,,,,,,,,,,,,,X
,3,ATSCNHHP,Add a Contract NOTS - Historical Header,,,,,,,,,,,,,,X
,3,ATSCNHIP,Add a Contract NOTS - Historical Item,,ATS001DP,,,,,,,,,,,,X
,3,ATSCNHPP,Add a Contract NOTS - Historical Payments,,ATS001EP,,,,,,,,,,,,X
,3,ATSCNHTP,Add a Contract NOTS - Historical Trust,,,,,,,,,,,,,,X
,5,AUDTBKFL,Trust Audit Book O/P file,,,,,,,,,,,,,,
,5,B145210234,Backup version of COMMTP,,,,,,,,,,,,,,
,4,BATCH#A,Batch # data area,,,,,,,,,,,,,,
,5,BDTRM,Levitt-Weinstein Terms & Mode Correction,,,,,,,,,,,,,,
,2,BLOCLUP,Matrix File Items Sub-Location,,CINVP,,,,,,X,,,,,,
,2,BUD85,CMX85 Budget Line Format,,CMXBUDP,,,,,,X,,,X,,,
,5,BUDTYP,Account file to create SBPBUDP,,,,,,,,,,,,,,
Security,2,CA.CASH,Cash Recepts Entry File,,,,,,,,,,,,,,
Error,2,CA.CCTK,Collection Tickler File,,CAAGERC,,,,,,,,,,,X,
Error,4,CA.CFAUD,Item Cost Master Audit File,,,,,,,,,,,,,,
Error,2,CA.CHLP,Commission Plan File,,,,,,,,,,,,,,
,5,CA.CLTX,Credit Letter Work File,,,,,,,,,,,,,,
Security,1,CA.CNCL,Cancellation Batch Header,,,,,,,,,,,,,,
,5,CA.CRMK,Customer Remarks File,,,,,,,,,,,,,,
Error,4,CA.DCMST,Contract Deletion File,,,,,,,,,,,,,,
,5,CA.EXCL, ,,,,,,,,,,,,,,
,5,CA.GTOT,Grand Total work file,,,,,,,,,,,,,,
Error,2,CA.LDCD,Lead Code File,,,,,,,,,,,,,,
CALOCN,1,CA.LOCN,Location Master File,,CA.LOCX,,,,,X,,,,,,,
CALOCX,1,CA.LOCX,Location Extension File,,CALOCNJ,,,,,X,,,,,,,
Error,1,CA.LOTR,Location Trusts File,,CACITMP,,,,,, ,X,,,,,
Error,3,CA.MNWGP,State Minimum Wage File,,,,,,,,,,,,,,
CAPDTYP,1,CA.PDTYP,Product Type Master File,,CALOCNJ,,,,,,X,,,,,,
CAPDTYP,1,CA.PDTYP,Product Type Master File,,CA.SMGR,,,,,, ,,,X,,,
,5,CA.PINV,Product Inventory S/N File,,,,,,,,,,,,,,
,5,CA.RSBUD,Phisical File to write budget information,,,,,,,,,,,,,,
